N,E,k
1,0,1
2,2,2
3,2,2
4,6,3
5,6,3
6,14,4
7,14,4
8,14,4
9,14,4
10,14,4
11,14,4
12,14,4
13,14,4
14,14,4
15,14,4
16,14,4
17,14,4
18,14,4
19,14,4
20,14,4
21,14,4
22,14,4
23,14,4
24,14,4
25,14,4
26,14,4
27,14,4
28,14,4
29,30,5
30,30,5
31,30,5
32,30,5
33,30,5
34,30,5
35,30,5
36,30,5
37,30,5
38,30,5
39,30,5
40,30,5
41,30,5
42,30,5
43,30,5
44,30,5
45,30,5
46,30,5
47,30,5
48,30,5
49,30,5
50,30,5
51,30,5
52,30,5
53,30,5
54,30,5
55,30,5
56,30,5
57,30,5
58,30,5
59,30,5
60,30,5
61,30,5
62,30,5
63,30,5
64,30,5
65,30,5
66,30,5
67,30,5
68,30,5
69,30,5
70,30,5
71,30,5
72,30,5
73,30,5
74,30,5
75,30,5
76,30,5
77,30,5
78,30,5
79,30,5
80,30,5
81,62,6
82,62,6
83,62,6
84,62,6
85,62,6
86,62,6
87,62,6
88,62,6
89,62,6
90,62,6
91,62,6
92,62,6
93,62,6
94,62,6
95,62,6
96,62,6
97,62,6
98,62,6
99,62,6
100,62,6
101,62,6
102,62,6
103,62,6
104,62,6
105,62,6
106,62,6
107,62,6
108,62,6
109,62,6
110,62,6
111,62,6
112,62,6
113,62,6
114,62,6
115,62,6
116,62,6
117,62,6
118,62,6
119,62,6
120,62,6
121,62,6
122,62,6
123,62,6
124,62,6
125,62,6
126,62,6
127,62,6
128,62,6
129,62,6
130,62,6
131,62,6
132,62,6
133,62,6
134,62,6
135,62,6
136,62,6
137,62,6
138,62,6
139,62,6
140,62,6
141,62,6
142,62,6
143,62,6
144,62,6
145,62,6
146,62,6
147,62,6
148,62,6
149,62,6
150,62,6
151,62,6
152,62,6
153,62,6
154,62,6
155,62,6
156,62,6
157,62,6
158,62,6
159,62,6
160,62,6
161,62,6
162,62,6
163,62,6
164,62,6
165,62,6
166,62,6
167,62,6
168,62,6
169,62,6
170,126,7
171,126,7
172,126,7
173,126,7
174,126,7
175,126,7
176,126,7
177,126,7
178,126,7
179,126,7
180,126,7
181,126,7
182,126,7
183,126,7
184,126,7
185,126,7
186,126,7
187,126,7
188,126,7
189,126,7
190,126,7
191,126,7
192,126,7
193,126,7
194,126,7
195,126,7
196,126,7
197,126,7
198,126,7
199,126,7
200,126,7
201,126,7
202,126,7
203,126,7
204,126,7
205,126,7
206,126,7
207,126,7
208,126,7
209,126,7
210,126,7
211,126,7
212,126,7
213,126,7
214,126,7
215,126,7
216,126,7
217,126,7
218,126,7
219,126,7
220,126,7
221,126,7
222,126,7
223,126,7
224,126,7
225,126,7
226,126,7
227,126,7
228,126,7
229,126,7
230,126,7
231,126,7
232,126,7
233,126,7
234,126,7
235,126,7
236,126,7
237,126,7
238,126,7
239,126,7
240,126,7
241,126,7
242,126,7
243,126,7
244,126,7
245,126,7
246,126,7
247,126,7
248,126,7
249,126,7
250,126,7
251,126,7
252,126,7
253,126,7
254,126,7
255,126,7
256,126,7
257,126,7
258,126,7
259,126,7
260,126,7
261,126,7
262,126,7
263,126,7
264,126,7
265,126,7
266,126,7
267,126,7
268,126,7
269,126,7
270,126,7
271,126,7
272,126,7
273,126,7
274,126,7
275,126,7
276,126,7
277,126,7
278,126,7
279,126,7
280,126,7
281,126,7
282,126,7
283,126,7
284,126,7
285,126,7
286,126,7
287,126,7
288,126,7
289,126,7
290,126,7
291,126,7
292,126,7
293,126,7
294,126,7
295,126,7
296,126,7
